uic_1,country_1,name_1,lon_1,lat_1,uic_2,country_2,name_2,lon_2,lat_2,match
8765892,FR,"ADAMSWILLER MAIRIE",485522N,071308E,8700003,FR,"Adamswiller (Mairie)",485522N,071308E,1
8765892,FR,"ADAMSWILLER MAIRIE",485522N,071308E,8761443,FR,"Aire Adour Office Tourisme",434208N,001543E,0
8746477,FR,"AIRE ADOUR OFFICE TOURISME",434116N,001515W,8761443,FR,"Aire Adour Office Tourisme",434208N,001543E,1
8746477,FR,"AIRE ADOUR OFFICE TOURISME",434116N,001515W,8706956,FR,"Aire-Sur-Adour 13 Juin",434306N,001548E,0
8766849,FR,"AIRE SUR ADOUR JU",434306N,001548W,8706956,FR,"Aire-Sur-Adour 13 Juin",434306N,001548E,1
8766849,FR,"AIRE SUR ADOUR JU",434306N,001548W,8706505,FR,"Aix-en-Provence routière",433124N,052628E,0
8754179,FR,"AIX EN PROVENCE ROUT",433124N,052628E,8706505,FR,"Aix-en-Provence routière",433124N,052628E,1
8754179,FR,"AIX EN PROVENCE ROUT",433124N,052628E,8770000,FR,"Albas (Rivière Basse)",442856N,011313E,0
8716871,FR,"ALBAS RIVIERE BASSE",442856N,011313E,8770000,FR,"Albas (Rivière Basse)",442856N,011313E,1
8716871,FR,"ALBAS RIVIERE BASSE",442856N,011313E,8770001,FR,"Albas (Rivière Haute)",442820N,011409E,0
8716872,FR,"ALBAS RIVIERE HAUTE",442820N,011409E,8770001,FR,"Albas (Rivière Haute)",442820N,011409E,1
8716872,FR,"ALBAS RIVIERE HAUTE",442820N,011409E,8770002,FR,"Albi halte Routière",435543N,020906E,0
8744035,FR,"ALBI HALTE ROUTIERE",435543N,020906E,8770002,FR,"Albi halte Routière",435543N,020906E,1
8744035,FR,"ALBI HALTE ROUTIERE",435543N,020906E,8770003,FR,"Albias (Abri Bus)",440525N,012650E,0
8713908,FR,"ALBIAS ABRI BUS",440525N,012650E,8770003,FR,"Albias (Abri Bus)",440525N,012650E,1
8713908,FR,"ALBIAS ABRI BUS",440525N,012650E,8799803,BE,"Annecy gare routière",455407N,060705E,0
8760049,FR,"ANNECY GARE ROUTIERE",455406N,060712E,8799803,BE,"Annecy gare routière",455407N,060705E,1
8760049,FR,"ANNECY GARE ROUTIERE",455406N,060712E,8736515,FR,"Annonay Boutique SNCF",451416N,044042E,0
87G1738,FR,"ANNONAY BOUTIQUE SNCF",451437N,044007E,8736515,FR,"Annonay Boutique SNCF",451416N,044042E,1
87G1738,FR,"ANNONAY BOUTIQUE SNCF",451437N,044007E,8770004,FR,"Argèles Gazost Cordée",430000N,000519E,0
8717693,FR,"ARGELES GAZOST CORDE",430000N,000519W,8770004,FR,"Argèles Gazost Cordée",430000N,000519E,1
8717693,FR,"ARGELES GAZOST CORDE",430000N,000519W,8779395,FR,"Arrou Place de l'Eglise",480552N,010722E,0
8764395,FR,"ARROU PLACE DE LEGLISE",480552N,010722E,8779395,FR,"Arrou Place de l'Eglise",480552N,010722E,1
8764395,FR,"ARROU PLACE DE LEGLISE",480552N,010722E,8770005,FR,"Assier Ville",444129N,015047E,0
8716547,FR,"ASSIER VILLE",444129N,015047E,8770005,FR,"Assier Ville",444129N,015047E,1
8716547,FR,"ASSIER VILLE",444129N,015047E,8770006,FR,Astis,432722N,001927E,0
8746491,FR,ASTIS,432722N,001927W,8770006,FR,Astis,432722N,001927E,1
8746491,FR,ASTIS,432722N,001927W,8770007,FR,"Aubiac Château",440824N,003346E,0
8746469,FR,"AUBIAC CHATEAU",440824N,003346E,8770007,FR,"Aubiac Château",440824N,003346E,1
8746469,FR,"AUBIAC CHATEAU",440824N,003346E,8770072,FR,"Lamothe Goas",434144N,003651E,0
8716819,FR,"AUCH ZA LAMOTHE",434144N,003651E,8770072,FR,"Lamothe Goas",434144N,003651E,1
8716819,FR,"AUCH ZA LAMOTHE",434144N,003651E,8706944,FR,"Auch (Baylac)",433754N,003454E,0
8766845,FR,AUCH-BAYLAC,433754N,003454E,8706944,FR,"Auch (Baylac)",433754N,003454E,1
8766845,FR,AUCH-BAYLAC,433754N,003454E,8706943,FR,"Auch (Hopital)",433715N,003416E,0
8766846,FR,AUCH-HOPITAL,433715N,003416E,8706943,FR,"Auch (Hopital)",433715N,003416E,1
8766846,FR,AUCH-HOPITAL,433715N,003416E,8707926,FR,"Auneau Resistance",482748N,014933E,0
8768892,FR,"AUNEAU RESISTANCE",482646N,014647E,8707926,FR,"Auneau Resistance",482748N,014933E,1
