uic_1,country_1,name_1,lon_1,lat_1,uic_2,country_2,name_2,lon_2,lat_2,match
0422058,DE,"Gausbach, Forbach",000000N,000000E,8014261,DE,"FORBACH GAUSBACH",484339N,082118E,1
0422058,DE,"Gausbach, Forbach",000000N,000000E,8029779,DE,"VAIHINGEN ENZ NORD",000000N,000000E,0
0940893,DE,Vaihingen(Enz),485657N,085718E,8029779,DE,"VAIHINGEN ENZ NORD",000000N,000000E,1
0940893,DE,Vaihingen(Enz),485657N,085718E,1031101,FI,HELSINKI,601016N,245629E,0
1000001,FI,Helsinki,601018N,245629E,1031101,FI,HELSINKI,601016N,245629E,1
1000001,FI,Helsinki,601018N,245629E,1000010,FI,PASILA,601155N,245600E,0
1000010,FI,PASILA,601155N,245600E,1000010,FI,PASILA,601155N,245600E,1
1000010,FI,PASILA,601155N,245600E,1031201,FI,KERAVA,602415N,250620E,0
1000020,FI,Kerava/Kervo,602415N,250622E,1031201,FI,KERAVA,602415N,250620E,1
1000020,FI,Kerava/Kervo,602415N,250622E,1031203,FI,JARVENPAA,602824N,250525E,0
1000025,FI,Järvenpää,602825N,250527E,1031203,FI,JARVENPAA,602824N,250525E,1
1000025,FI,Järvenpää,602825N,250527E,1031310,FI,HYVINKAA,603752N,245127E,0
1000030,FI,Hyvinkää/Hyvinge,603751N,245126E,1031310,FI,HYVINKAA,603752N,245127E,1
1000030,FI,Hyvinkää/Hyvinge,603751N,245126E,1031301,FI,RIIHIMAKI,604407N,244652E,0
1000040,FI,Riihimäki,604617N,244723E,1031301,FI,RIIHIMAKI,604407N,244652E,1
1000040,FI,Riihimäki,604617N,244723E,1031401,FI,HAMEENLINNA,610009N,242842E,0
1000047,FI,Hämeenlinna/Tavasteh,610037N,242632E,1031401,FI,HAMEENLINNA,610009N,242842E,1
1000047,FI,Hämeenlinna/Tavasteh,610037N,242632E,1033221,FI,SALO,602305N,230719E,0
1000055,FI,Salo,602306N,230716E,1033221,FI,SALO,602305N,230719E,1
1000055,FI,Salo,602306N,230716E,1031601,FI,KARJAA,600406N,233941E,0
1000060,FI,Karjaa/Karis,600406N,233940E,1031601,FI,KARJAA,600406N,233941E,1
1000060,FI,Karjaa/Karis,600406N,233940E,1000063,FI,KIRKKONUMMI,600710N,242620E,0
1000063,FI,Kirkkonummi,600710N,242619E,1000063,FI,KIRKKONUMMI,600710N,242620E,1
1000063,FI,Kirkkonummi,600710N,242619E,1000065,FI,"KAUKLAHTI KOKLAKS",000000N,000000E,0
1000065,FI,Kauklahti,601122N,243601E,1000065,FI,"KAUKLAHTI KOKLAKS",000000N,000000E,1
1000065,FI,Kauklahti,601122N,243601E,1031127,FI,ESPOO,601218N,243922E,0
1000066,FI,Espoo,601218N,243925E,1031127,FI,ESPOO,601218N,243922E,1
1000066,FI,Espoo,601218N,243925E,1031125,FI,KAUNIAINEN,601221N,244050E,0
1000067,FI,Kauniainen,601243N,244349E,1031125,FI,KAUNIAINEN,601221N,244050E,1
1000067,FI,Kauniainen,601243N,244349E,1031501,FI,LAHTI,605834N,253927E,0
1000100,FI,Lahti/Lahtis,605835N,253928E,1031501,FI,LAHTI,605834N,253927E,1
1000100,FI,Lahti/Lahtis,605835N,253928E,1000126,FI,KUPITTAA,602701N,221749E,0
1000126,FI,Kupittaa,602628N,222804E,1000126,FI,KUPITTAA,602701N,221749E,1
1000126,FI,Kupittaa,602628N,222804E,1033201,FI,TURKU,602712N,221513E,0
1000130,FI,Turku/┼bo,602715N,221512E,1033201,FI,TURKU,602712N,221513E,1
1000130,FI,Turku/┼bo,602715N,221512E,1000135,FI,"TURKU SATAMA ABO HAMN",602604N,221326E,0
1000135,FI,"Turku satama/┼bo ham",602605N,221323E,1000135,FI,"TURKU SATAMA ABO HAMN",602604N,221326E,1
1000135,FI,"Turku satama/┼bo ham",602605N,221323E,1000142,FI,LOIMAA,605052N,230338E,0
1000142,FI,Loimaa,605108N,230105E,1000142,FI,LOIMAA,605052N,230338E,1
1000142,FI,Loimaa,605108N,230105E,1000144,FI,HUMPPILA,605510N,232143E,0
1000144,FI,Humppila,610237N,232158E,1000144,FI,HUMPPILA,605510N,232143E,1
1000144,FI,Humppila,610237N,232158E,1033301,FI,TOIJALA,611012N,235130E,0
1000150,FI,Toijala,611014N,235243E,1033301,FI,TOIJALA,611012N,235130E,1
1000150,FI,Toijala,611014N,235243E,1033101,FI,TAMPERE,612952N,234622E,0
1000160,FI,Tampere/Tammerfors,612953N,234910E,1033101,FI,TAMPERE,612952N,234622E,1
1000160,FI,Tampere/Tammerfors,612953N,234910E,1033126,FI,VAMMALA,612055N,225320E,0
1000176,FI,Vammala,612131N,225307E,1033126,FI,VAMMALA,612055N,225320E,1
1000176,FI,Vammala,612131N,225307E,1033601,FI,ORIVESI,613900N,242203E,0
1000190,FI,Orivesi,613858N,242203E,1033601,FI,ORIVESI,613900N,242203E,1
1000190,FI,Orivesi,613858N,242203E,1000200,FI,HAAPAMAKI,621448N,242717E,0
1000200,FI,Haapamäki,621448N,242719E,1000200,FI,HAAPAMAKI,621448N,242717E,1
1000200,FI,Haapamäki,621448N,242719E,1000204,FI,JAMSA,615153N,251026E,0
1000204,FI,Jämsä,615153N,251022E,1000204,FI,JAMSA,615153N,251026E,1
1000204,FI,Jämsä,615153N,251022E,1033514,FI,PARKANO,620307N,230440E,0
1000215,FI,Parkano,620133N,230050E,1033514,FI,PARKANO,620307N,230440E,1
1000215,FI,Parkano,620133N,230050E,1000218,FI,HARJAVALTA,611839N,220802E,0
1000218,FI,Harjavalta,611909N,220516E,1000218,FI,HARJAVALTA,611839N,220802E,1
1000218,FI,Harjavalta,611909N,220516E,1033501,FI,PORI,612838N,214715E,0
1000220,FI,Pori/Björneborg,612905N,214625E,1033501,FI,PORI,612838N,214715E,1
1000220,FI,Pori/Björneborg,612905N,214625E,1036201,FI,JYVASKYLA,621418N,254449E,0
1000240,FI,Jyväskylä,621431N,254521E,1036201,FI,JYVASKYLA,621418N,254449E,1
1000240,FI,Jyväskylä,621431N,254521E,1034101,FI,SEINAJOKI,624730N,225040E,0
1000280,FI,Seinäjoki,624741N,225132E,1034101,FI,SEINAJOKI,624730N,225040E,1
1000280,FI,Seinäjoki,624741N,225132E,1000284,FI,ALAVUS,623704N,233601E,0
1000284,FI,Alavus,623705N,233827E,1000284,FI,ALAVUS,623704N,233601E,1
1000284,FI,Alavus,623705N,233827E,1034201,FI,VAASA,630516N,213326E,0
1000288,FI,Vaasa,630552N,213726E,1034201,FI,VAASA,630516N,213326E,1
1000288,FI,Vaasa,630552N,213726E,1000298,FI,LAPUA,625816N,230049E,0
1000298,FI,Lapua,625818N,230044E,1000298,FI,LAPUA,625816N,230049E,1
1000298,FI,Lapua,625818N,230044E,1000299,FI,KAUHAVA,630558N,230209E,0
